apache,jar,java,job,org,run,server,spring,springframework,xd,story_point
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.6254387442697523,0.0,0.2954491256388194,0.0,0.0,0.6509552869568701,0.31271937213487616,0.0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.1794621800581071,0.9079566444605057,0.22902120954914443,0.0,0.216373279506509,0.05408005555500688,0.03187782531817511,0.18539482702345336,0.07634040318304815,0.0,1
0.0,0.6620204906660244,0.4921714877052831,0.04537698254457499,0.4059443622781329,0.02490411394968007,0.25445133931112796,0.21140518108311315,0.20311839175138668,0.036486575513950445,3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.9389943426228351,0.09545775248306054,0.0,0.0,0.0,0.10103766040046418,0.31459312324650834,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557805845356921,0.0,0.8313290214188148,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.5845603668156145,0.68914549254938,0.0,0.0,0.42821451125255733,1
0.0,0.0,0.33988520319092386,0.5264543301189769,0.5351911599143497,0.0,0.0,0.0,0.5664753386515398,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366531653266227,0.0,0.35025825883713047,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366531653266227,0.0,0.35025825883713047,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.5723477283308663,0.0,0.5407392408801147,0.17887719878757727,0.08435222246478548,0.0700821497470151,0.5723477283308663,0.09172443364441592,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.5524852432917824,0.4247094797038089,0.0,0.426332869293173,0.0,0.0,0.3591548222117458,0.4512538221852969,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.30347252774282857,0.6287053767900723,0.5267566083497154,0.0,0.38551586671451243,0.04730170913170515,0.018588191222275494,0.21621013741911796,0.19289678615623382,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.621770458756261,0.0,0.0,0.0,0.0,0.0,0.4352870900459744,0.0,0.651096495043044,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.5404488716543051,0.0,0.0,0.0,0.0,0.0,0.0,0.8413768579700707,0
0.0,0.0,0.0,0.0,0.5879885557776829,0.0,0.0,0.6477498591780004,0.0,0.484447704308066,8
0.0,0.0,0.0,0.0,0.0,0.291348738592622,0.0,0.856104609686709,0.0,0.42684986797895996,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366531653266227,0.0,0.35025825883713047,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
